id,name,description,price,category,url,image_url,availability,last_updated,in_stock,extraction_method
darwin_0064,Apple Watch Series 8,Nu există descriere disponibilă,351 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-series-8,,"Ceas inteligent Apple Watch Series 8 Midnight
| 45 mm | Aluminiu/ Silicon| MNP13UL/ A
Cashback 351 lei
11 699 lei",,False,seleniumbase
darwin_0066,"Apple iPhone 14, 14 Plus, 14 Pro și 14 Pro Max",Nu există descriere disponibilă,630 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/apple-iphone-14-2022,,"Apple iPhone 14 Pro 128 GB Deep Purple
6.1"" | 48 MP | 6 GB | Single SIM
Cashback 630 lei
20 999 lei",,False,seleniumbase
darwin_0068,Apple Watch SE 2022,Nu există descriere disponibilă,219 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-se-2022,,"Ceas inteligent Apple Watch SE 2022 Midnight
| 44mm | Aluminiu/ Silicon | MNK03UL/ A
Cashback 219 lei
7 299 lei",,False,seleniumbase
darwin_0070,FIFA 23,Nu există descriere disponibilă,30 MDL,Jocuri,https://darwin.md/gaming/jocuri/fifa-23,,"FIFA FIFA 23: Legacy Edition (Eng/Pl/Rus) Nintendo Switch
Sport / 10+
Cashback 30 lei
999 lei",,False,seleniumbase
darwin_0073,Ceasuri inteligente Apple Watch Series 8 & Watch Ultra & Watch SE 2022,Nu există descriere disponibilă,351 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-series-8-si-watch-ultra-si-watch-se-2022,,"Ceas inteligent Apple Watch Series 8 Midnight
| 45 mm | Aluminiu/ Silicon| MNP13UL/ A
Cashback 351 lei
11 699 lei",,False,seleniumbase
darwin_0074,Apple iPad Pro 2022,Nu există descriere disponibilă,570 MDL,Tablete,https://darwin.md/tablete/apple-ipad-pro-2022,,"Tabletă Apple iPad Pro 2022 11"" Wi-Fi Gray
8 GB | 128 GB | 12 MP | MNXD3RK/ A
Cashback 570 lei
18 990 lei",,False,seleniumbase
darwin_0077,Apple MacBook Pro 2023,Nu există descriere disponibilă,440 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-2023,,"Laptop Apple MacBook Pro 14 2023 Space Black
14.2"" | 18 GB | 512 GB | Apple M3 Pro (C11/ G14) | VGA Integrată
Cashback 1 440 lei
47 990 lei",,False,seleniumbase
darwin_0078,Tablete Apple iPad 2022,Nu există descriere disponibilă,249 MDL,Tablete,https://darwin.md/tablete/apple-ipad-2022,,"Tabletă Apple iPad 2022 10.9"" Wi-Fi Silver
4 GB | 64 GB | 12 MP | MPQ03RK/A
Cashback 249 lei
8 299 lei
-13%
-1 000 lei
7 299 lei",,False,seleniumbase
darwin_0084,MacBook Pro 14 2023,Nu există descriere disponibilă,440 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-14-2023,,"Laptop Apple MacBook Pro 14 2023 Space Black
14.2"" | 18 GB | 512 GB | Apple M3 Pro (C11/ G14) | VGA Integrată
Cashback 1 440 lei
47 990 lei",,False,seleniumbase
darwin_0086,MacBook Pro 16 2023,Nu există descriere disponibilă,800 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-16-2023,,"Laptop Apple MacBook Pro 16 2023 Space Black
16.2"" | 18 GB | 512 GB | Apple M3 Pro (C12/ G18) | VGA Integrată
Cashback 1 800 lei
59 990 lei",,False,seleniumbase
darwin_0091,Calculatoare Apple Mac Mini 2023,Nu există descriere disponibilă,465 MDL,Sisteme PC,https://darwin.md/calculatoare/sisteme-pc/apple-mac-mini-2023,,"Mini PC Apple Mac Mini 2023 Silver
Apple M2 8 GB 512 GB
Cashback 465 lei
15 499 lei
-23%
-3 500 lei
11 999 lei",,False,seleniumbase
darwin_0096,MacBook Air 15 2023,Nu există descriere disponibilă,921 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-air-15-2023,,"Laptop Apple MacBook Air 15 2023 Space Gray
15.3"" | 8 GB | 256 GB | Apple M2 (C8/G10) | VGA Integrată
Cashback 921 lei
30 690 lei",,False,seleniumbase
darwin_0098,Apple Macbook Pro 2021,Nu există descriere disponibilă,380 MDL,Laptop-Uri,https://darwin.md/laptopuri/apple-macbook-pro-2021,,"Laptop Apple MacBook Pro 14 2021 Space Gray
14.2"" | 16 GB | 512 GB | Apple M1 Pro (C8/G14) | VGA Integrată
Cashback 1 380 lei
45 990 lei",,False,seleniumbase
darwin_0101,Smartphone Samsung Galaxy Flip 4,Nu există descriere disponibilă,534 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/samsung-galaxy-z-flip-4,,"Samsung Galaxy Flip4 256 GB Graphite
6.7"" | 12 MP | 8 GB | Single SIM
Cashback 534 lei
17 799 lei",,False,seleniumbase
darwin_0102,Smartphone Samsung Galaxy Flip 5,Nu există descriere disponibilă,642 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/samsung-galaxy-flip-5,,"Samsung Galaxy Flip 5 256 GB Gray
6.7"" | 12 MP | 8 GB | Dual SIM
Cashback 642 lei
21 399 lei",,False,seleniumbase
darwin_0103,Xiaomi Redmi Note 12,Nu există descriere disponibilă,138 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/xiaomi-redmi-note-12,,"Xiaomi Redmi Note 12 4G 256 GB Onyx Gray
6.67"" | 50 MP | 8 GB | Dual SIM
Cashback 138 lei
4 599 lei",,False,seleniumbase
darwin_0104,Smartphone Samsung Galaxy Fold 5,Nu există descriere disponibilă,137 MDL,Smartphone-uri,https://darwin.md/telefoane/smartphone/samsung-galaxy-fold-5,,"Samsung Galaxy Fold 5 512 GB Black
7.6"" | 50 MP | 12 GB | Dual SIM
Cashback 1 137 lei
37 899 lei",,False,seleniumbase
darwin_0108,Apple Watch Series 9,Nu există descriere disponibilă,255 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-series-9,,"Ceas inteligent Apple Watch Series 9 Midnight
1.9"" | 45 mm | Aluminiu/ Silicon | MR9A3QR/ A
Cashback 255 lei
8 499 lei",,False,seleniumbase
darwin_0111,Apple Watch Ultra 2,Nu există descriere disponibilă,590 MDL,Ceasuri Inteligente,https://darwin.md/gadgets/ceasuri-inteligente/apple-watch-ultra-2,,"Ceas inteligent Apple Watch Ultra 2 Natural Titanium
1.92"" | 49 mm | Titan/ Textil | MREK3RB/ A
Cashback 590 lei
19 659 lei",,False,seleniumbase
